ParentCode,Key,DisplayName,DataType,SourceCode,IsRequired,AllowMultiple,MinLength,MaxLength,RegexPattern
AI-MODELS,weight,Weight,2,,False,False,,,
AI-MODELS,ollamaModelName,Ollama Model Name,0,,False,False,,,
AI-MODELS,openrouterModelName,OpenRouter Model Name,0,,False,False,,,
COMMUNITYS,City,City,7,CITIES,False,False,,,
CITIES,Country,Country,7,COUNTRYS,False,False,,,
GRSTREAMS,gradeLevel,Grade Level,7,GRADE,True,False,,,
GRSTREAMS,streamVersion,Strand Version,0,,True,False,2,3,^\d+[A-Z]$
CNCODES,COUNTRY,Country,0,,False,False,,,
